ID,USERID,TYPE,REGISTRATIONDATE,DOMAIN,STATUS,NEXTDUEDATE
64633,60414,Register,09/10/2012 00:00:00,,Active,22/10/2019 00:00:00
64634,68064,Register,09/10/2012 00:00:00,,Active,10/10/2019 00:00:00
64640,57903,Register,10/10/2012 00:00:00,,Active,11/10/2019 00:00:00
64641,57903,Register,10/10/2012 00:00:00,,Active,10/10/2019 00:00:00
64643,68070,Transfer,10/10/2012 00:00:00,,Active,27/10/2019 00:00:00
64646,68073,Register,10/10/2012 00:00:00,,Active,11/10/2019 00:00:00
64647,68073,Register,10/10/2012 00:00:00,,Active,10/10/2019 00:00:00
64655,68076,Register,11/10/2012 00:00:00,,Active,22/10/2019 00:00:00
64656,68077,Register,11/10/2012 00:00:00,,Active,11/10/2019 00:00:00
64662,68076,Register,11/10/2012 00:00:00,,Active,22/10/2019 00:00:00
64698,64691,Register,14/10/2012 00:00:00,,Active,16/10/2019 00:00:00
64705,61445,Register,16/10/2012 00:00:00,,Active,16/10/2019 00:00:00
64721,68111,Register,16/10/2012 00:00:00,,Active,16/10/2019 00:00:00
64726,66868,Transfer,16/10/2012 00:00:00,,Active,30/10/2019 00:00:00
64727,67476,Register,16/10/2012 00:00:00,,Active,16/10/2019 00:00:00
64729,59310,Register,16/10/2012 00:00:00,,Active,18/10/2019 00:00:00
64737,62714,Register,17/10/2012 00:00:00,,Active,17/10/2019 00:00:00
64738,66850,Register,17/10/2012 00:00:00,,Active,17/10/2019 00:00:00
64739,66850,Register,17/10/2012 00:00:00,,Active,17/10/2019 00:00:00
64740,66850,Register,17/10/2012 00:00:00,,Active,17/10/2019 00:00:00
64741,66850,Register,17/10/2012 00:00:00,,Active,17/10/2019 00:00:00
64742,68120,Register,17/10/2012 00:00:00,,Active,17/10/2019 00:00:00
64748,60310,Register,17/10/2012 00:00:00,,Active,22/10/2019 00:00:00
64762,57887,Register,18/10/2012 00:00:00,,Active,18/10/2019 00:00:00
64763,57887,Register,18/10/2012 00:00:00,,Active,18/10/2019 00:00:00
64764,68133,Register,22/10/2012 00:00:00,,Active,22/10/2019 00:00:00
64770,68137,Register,19/10/2012 00:00:00,,Active,19/10/2019 00:00:00
64778,68141,Register,19/10/2012 00:00:00,,Active,19/10/2019 00:00:00
64780,68143,Register,19/10/2012 00:00:00,,Active,19/10/2019 00:00:00
64793,57842,Register,20/10/2012 00:00:00,,Active,20/10/2019 00:00:00
64806,58321,Register,22/10/2012 00:00:00,,Active,22/10/2019 00:00:00
64807,58321,Register,26/10/2012 00:00:00,,Active,26/10/2019 00:00:00
64808,68158,Register,22/10/2012 00:00:00,,Active,23/10/2019 00:00:00
64813,66269,Register,22/10/2012 00:00:00,,Active,23/10/2019 00:00:00
64823,57887,Register,23/10/2012 00:00:00,,Active,23/10/2019 00:00:00
64824,57887,Register,23/10/2012 00:00:00,,Active,23/10/2019 00:00:00
64827,59425,Register,23/10/2012 00:00:00,,Active,23/10/2019 00:00:00
64830,68168,Register,23/10/2012 00:00:00,,Active,23/10/2019 00:00:00
64840,59310,Register,24/10/2012 00:00:00,,Active,24/10/2019 00:00:00
64848,59660,Register,30/10/2012 00:00:00,,Active,30/10/2019 00:00:00
64850,68179,Register,24/10/2012 00:00:00,,Active,25/10/2019 00:00:00
68863,70206,Transfer,09/07/2013 00:00:00,,Active,03/10/2019 00:00:00
64860,68183,Register,24/10/2012 00:00:00,,Active,24/10/2019 00:00:00
64869,67733,Register,25/10/2012 00:00:00,,Active,25/10/2019 00:00:00
64875,75163,Register,26/10/2012 00:00:00,,Active,26/10/2019 00:00:00
